Empresa,RIF,ORD-04-11-SOL,ORD-04-11-MON,OTRO-04-11-SOL,OTRO-04-11-MON,Sol,Mon
TEJIDOS EVERTEX,J-306528261,422,"$31,482,027",0,$0,422,"$31,482,027"
TEJIDOS INDULANA C.A.,J-309556533,4,"$95,672",0,$0,4,"$95,672"
"TEJIDOS NOW, S.A.",J-002067080,46,"$2,836,714",0,$0,46,"$2,836,714"
"TEJIDOS SUPERPUNTO, C.A.",J-000808317,224,"$15,345,381",0,$0,224,"$15,345,381"
TEKA ANDINA S.A.,J-306437274,583,"$36,511,600",4,"$2,527,075",587,"$39,038,675"
TELARES CARONI C.A,J-000672946,11,"$514,373",0,$0,11,"$514,373"
"TELARES LOS ANGELES, C.A",J-308844942,2256,"$20,155,753",0,$0,2256,"$20,155,753"
"TELARES MONAGAS, C.A.",J-311506233,15,"$1,576,962",0,$0,15,"$1,576,962"
TELAS CEMA C.A.,J-313717053,228,"$11,742,716",0,$0,228,"$11,742,716"
TELAS LAFAVEN S.A.,J-304788339,310,"$12,787,055",0,$0,310,"$12,787,055"
TELAS NUEVA C.A,J-065099887,9,"$294,020",0,$0,9,"$294,020"
"TELCEL, C.A.",J-003439940,9250,"$3,001,494,631",441,"$638,255,918",9691,"$3,639,750,549"
"TELCONS INGENIEROS, C.A.",J-002681390,46,"$5,578,953",0,$0,46,"$5,578,953"
"TELDEALER CONSULTING GROUP, C.A.",J-312251697,5,"$549,317",0,$0,5,"$549,317"
"TELE BUREAU, C.A.",J-301917294,160,"$998,897",0,$0,160,"$998,897"
TELE-ROLL C.A.,J-000681538,169,"$8,973,121",0,$0,169,"$8,973,121"
"TELECENTER CONTROLES, C.A.",J-303296483,27,"$317,503",0,$0,27,"$317,503"
"TELECOM VENEZUELA C.A. (ANTES C.V.G. TELECOMUNICACIONES, C.",G-200051434,668,"$529,102,788",1,"$455,624",669,"$529,558,412"
"TELECOM. CORPORATIVAS TELECORP, C.A.",J-302198380,72,"$2,638,667",129,"$6,647,026",201,"$9,285,693"
